Filing Name,Filing Date,Court District,Exchange,Ticker,Sector,Industry,MarketCap,sharesOutstanding,bookValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,averageDailyVolume3Month,fiftyDayAverage,twoHundredDayAverage,Open,Close,High,Low,Volume
"PRI Automation, Inc.",11/20/00,D. Massachusetts,NASDAQ,PRIA, Semiconductors, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"pcOrder.com, Inc.",11/17/00,W.D. Texas,NASDAQ,PCOR, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AT&T Corporation : AT&T Wireless Group Tracking Stock,11/16/00,S.D. New York,New York SE,AWE, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Quintus Corporation,11/15/00,N.D. California,NASDAQ,QNTS, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Heartland Financial USA, Inc. : Heartland High-Yield Municipal Bond Funds",11/13/00,E.D. Wisconsin,E.D. Wisconsin,E.D. Wisconsin, Other (Mutual Fund), Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Coram Healthcare Corporation,11/8/00,D. New Jersey,OTC-BB,CRHEQ, Healthcare Facilities, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Del Global Technologies Corporation,11/8/00,S.D. New York,NASDAQ,DGTCE, Electronic Instruments & Controls, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Knight Trading Group, Inc.",11/7/00,D. New Jersey,NASDAQ,NITE, Investment Services, Financial,390502496.0,28904700.0,1.469,24.935,10.05,33300.0,13.657059,16.473910999999998,nan,nan,nan,nan,nan
"MCI WorldCom Inc. and Intermedia Communications, Inc. common stock",11/7/00,S.D. Mississippi,NASDAQ,WCOM, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CompuCredit Corporation,11/6/00,N.D. Georgia,NASDAQ,CCRT, Consumer Financial Services, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Alpharma, Inc.",11/3/00,D. New Jersey,New York SE,ALO, Biotechnology & Drugs, Healthcare,115684592.0,43674800.0,4.465,6.06,2.57,180577.0,3.2417648,3.7042029999999997,nan,nan,nan,nan,nan
"PSINet, Inc.",11/3/00,E.D. Virginia,NASDAQ,PSIX, Computer Networks, Technology,126999496.0,18926900.0,9.427,11.88,4.8,6182.0,7.16,8.408116,nan,nan,nan,nan,nan
"Allscripts, Inc.",10/31/00,N.D. Illinois,NASDAQ,MDRX, Retail (Drugs), Services,2502431744.0,180680992.0,6.202999999999999,16.13,11.25,2155024.0,14.757941,13.960145,nan,nan,nan,nan,nan
